order_item_id,order_id,product_id,quantity,unit_price,line_total
179,51,241,4,205.2,820.8
180,51,225,1,242.67,242.67
181,51,45,2,118.21,236.42
182,51,210,4,141.37,565.48
183,51,173,4,303.56,1214.24
184,52,227,4,454.43,1817.72
185,52,146,1,118.88,118.88
186,52,97,2,316.97,633.94
187,52,137,4,205.25,821.0
188,52,8,1,427.33,427.33
189,52,64,1,110.72,110.72
190,53,237,2,52.77,105.54
191,53,5,4,148.93,595.72
192,54,185,1,339.64,339.64
193,54,77,4,377.42,1509.68
194,55,3,1,142.45,142.45
195,55,36,3,90.32,270.96
196,55,132,3,330.55,991.65
197,55,67,2,136.1,272.2
198,56,136,3,299.97,899.91
199,56,185,4,339.64,1358.56
200,56,20,4,605.41,2421.64
201,56,119,2,142.86,285.72
202,56,134,3,224.13,672.39
203,57,174,3,460.49,1381.47
204,58,58,4,307.4,1229.6
205,58,198,1,351.95,351.95
206,58,225,2,242.67,485.34
207,58,226,3,137.54,412.62
208,58,52,3,135.78,407.34
209,59,147,4,50.11,200.44
210,59,162,1,386.04,386.04
211,59,174,4,460.49,1841.96
212,59,105,2,58.11,116.22
213,59,55,4,215.38,861.52
214,60,179,2,200.78,401.56
215,60,235,4,172.77,691.08
216,60,18,3,55.2,165.6
217,60,43,3,349.47,1048.41
218,60,225,4,242.67,970.68
219,61,9,1,553.14,553.14
220,61,173,4,303.56,1214.24
221,62,13,2,249.16,498.32
222,62,21,4,574.25,2297.0
223,62,12,1,589.84,589.84
224,62,30,3,247.82,743.46
225,63,178,1,505.3,505.3
226,63,141,4,133.58,534.32
227,64,179,3,200.78,602.34
228,64,92,4,411.95,1647.8
229,65,80,2,24.61,49.22
230,65,181,4,314.93,1259.72
231,65,209,3,101.66,304.98
232,65,113,4,411.77,1647.08
233,65,28,3,434.23,1302.69
234,66,220,3,168.03,504.09
235,66,223,2,449.24,898.48
236,66,72,4,91.12,364.48
237,67,124,1,388.77,388.77
238,67,71,2,594.55,1189.1
239,67,182,1,214.08,214.08
240,67,183,3,147.46,442.38
241,67,130,3,60.89,182.67
242,67,96,4,541.36,2165.44
243,68,28,2,434.23,868.46
244,68,101,3,57.39,172.17
245,68,99,1,205.29,205.29
246,69,31,3,499.38,1498.14
247,69,142,3,45.22,135.66
248,69,192,3,183.66,550.98
249,70,194,4,521.07,2084.28
250,70,3,3,142.45,427.35
251,70,116,3,108.97,326.91
252,70,138,4,371.13,1484.52
253,71,197,2,297.44,594.88
254,71,164,3,320.2,960.6
255,71,21,2,574.25,1148.5
256,71,114,4,270.25,1081.0
257,71,158,2,479.14,958.28
258,72,40,3,450.37,1351.11
259,72,167,3,74.71,224.13
260,72,47,4,595.74,2382.96
261,72,43,3,349.47,1048.41
262,72,58,4,307.4,1229.6
263,73,224,4,79.62,318.48
264,73,14,1,301.65,301.65
265,73,106,3,162.6,487.8
266,73,30,4,247.82,991.28
267,74,130,3,60.89,182.67
268,74,95,1,320.04,320.04
269,74,70,1,473.53,473.53
270,75,22,2,125.76,251.52
271,75,133,1,310.77,310.77
272,76,184,1,201.3,201.3
273,76,66,4,87.24,348.96
274,77,82,4,212.44,849.76
275,77,49,1,529.8,529.8
276,77,242,2,131.89,263.78
277,77,238,4,262.67,1050.68
278,78,125,2,211.24,422.48
279,79,233,3,275.42,826.26
280,79,106,1,162.6,162.6
281,79,124,2,388.77,777.54
282,80,33,2,102.45,204.9
283,80,170,4,287.23,1148.92
284,80,88,2,347.53,695.06
285,80,98,1,209.33,209.33
286,81,91,1,187.63,187.63
287,82,210,1,141.37,141.37
288,82,109,4,383.43,1533.72
289,82,50,3,120.19,360.57
290,82,204,2,207.96,415.92
291,83,170,3,287.23,861.69
292,83,188,1,503.7,503.7
293,83,219,3,383.42,1150.26
294,83,78,3,302.79,908.37
295,84,77,3,377.42,1132.26
296,84,22,4,125.76,503.04
297,84,83,3,550.53,1651.59
298,84,27,2,238.78,477.56
299,84,9,2,553.14,1106.28
300,85,106,3,162.6,487.8
301,85,6,4,478.9,1915.6
302,85,245,4,170.03,680.12
303,85,203,2,362.8,725.6
304,85,188,4,503.7,2014.8
305,85,69,3,297.02,891.06
306,86,62,2,185.84,371.68
307,86,120,4,32.48,129.92
308,87,9,4,553.14,2212.56
309,87,77,2,377.42,754.84
310,87,72,4,91.12,364.48
311,87,113,3,411.77,1235.31
312,88,179,4,200.78,803.12
313,88,9,4,553.14,2212.56
314,88,80,1,24.61,24.61
315,88,22,1,125.76,125.76
316,89,110,2,524.57,1049.14
317,89,51,3,555.78,1667.34
318,89,111,2,123.73,247.46
319,89,219,2,383.42,766.84
320,89,11,1,312.03,312.03
321,90,137,2,205.25,410.5
322,91,55,4,215.38,861.52
323,91,109,2,383.43,766.86
324,91,205,1,383.07,383.07
325,92,244,1,423.65,423.65
326,92,136,3,299.97,899.91
327,92,133,4,310.77,1243.08
328,92,195,3,117.88,353.64
329,92,157,4,28.92,115.68
330,92,99,1,205.29,205.29
331,93,35,1,404.22,404.22
332,93,208,1,350.34,350.34
333,93,236,3,58.2,174.6
334,93,188,3,503.7,1511.1
335,94,32,2,610.06,1220.12
336,94,159,4,223.33,893.32
337,94,195,1,117.88,117.88
338,94,152,4,580.76,2323.04
339,94,208,3,350.34,1051.02
340,95,149,3,212.48,637.44
341,95,46,4,188.18,752.72
342,96,232,2,494.33,988.66
343,96,116,2,108.97,217.94
344,96,157,2,28.92,57.84
345,96,175,1,93.86,93.86
346,96,3,4,142.45,569.8
347,97,152,3,580.76,1742.28
348,97,144,1,47.39,47.39
349,97,12,3,589.84,1769.52
350,97,206,3,225.13,675.39
351,97,109,3,383.43,1150.29
352,98,118,3,175.82,527.46
353,98,1,3,541.39,1624.17
354,98,36,2,90.32,180.64
355,98,144,4,47.39,189.56
356,98,145,3,362.85,1088.55
357,98,76,2,450.31,900.62
358,99,224,4,79.62,318.48
359,100,1,2,541.39,1082.78
360,101,76,3,450.31,1350.93
361,101,237,2,52.77,105.54
362,101,122,2,313.49,626.98
363,102,78,1,302.79,302.79
364,102,158,2,479.14,958.28
365,102,152,4,580.76,2323.04
366,102,166,3,82.07,246.21
367,103,184,4,201.3,805.2
368,103,103,2,234.96,469.92
369,104,40,2,450.37,900.74
370,104,131,4,21.58,86.32
371,104,151,4,72.21,288.84
372,104,37,4,43.6,174.4
373,105,212,2,454.26,908.52
374,105,170,3,287.23,861.69
375,105,172,2,244.65,489.3
376,105,12,2,589.84,1179.68
377,106,4,4,352.75,1411.0
378,107,129,2,293.5,587.0
379,107,200,3,558.08,1674.24
380,107,46,1,188.18,188.18
381,108,96,4,541.36,2165.44
382,108,78,2,302.79,605.58
383,108,8,2,427.33,854.66
384,109,35,1,404.22,404.22
385,109,36,1,90.32,90.32
386,109,110,4,524.57,2098.28
387,110,7,1,53.23,53.23
388,110,200,2,558.08,1116.16
389,110,18,3,55.2,165.6
390,111,126,2,291.18,582.36
391,111,39,4,116.92,467.68
392,111,112,4,186.06,744.24
393,111,1,2,541.39,1082.78
394,112,82,1,212.44,212.44
395,112,201,2,496.81,993.62
396,113,95,3,320.04,960.12
397,113,148,2,497.64,995.28
398,114,60,1,556.59,556.59
399,114,171,4,242.88,971.52
400,114,185,1,339.64,339.64
401,115,219,2,383.42,766.84
402,115,207,4,490.29,1961.16
403,115,44,1,19.48,19.48
404,115,117,4,300.72,1202.88
405,116,54,2,60.89,121.78
406,116,3,2,142.45,284.9
407,116,21,1,574.25,574.25
408,116,131,4,21.58,86.32
409,117,247,3,32.63,97.89
410,117,88,3,347.53,1042.59
411,117,110,4,524.57,2098.28
412,117,198,1,351.95,351.95
413,118,101,2,57.39,114.78
414,118,58,2,307.4,614.8
415,119,250,4,34.9,139.6
416,120,242,2,131.89,263.78
417,120,91,1,187.63,187.63
418,120,106,4,162.6,650.4
419,120,7,3,53.23,159.69
420,120,96,2,541.36,1082.72
421,120,99,2,205.29,410.58
422,121,101,1,57.39,57.39
423,122,169,3,382.14,1146.42
424,122,129,1,293.5,293.5
425,122,64,4,110.72,442.88
426,122,131,2,21.58,43.16
427,122,162,3,386.04,1158.12
428,123,227,1,454.43,454.43
429,124,33,4,102.45,409.8
430,124,111,1,123.73,123.73
431,124,4,3,352.75,1058.25
432,124,238,3,262.67,788.01
433,125,225,3,242.67,728.01
434,125,131,4,21.58,86.32
435,125,166,1,82.07,82.07
436,125,31,4,499.38,1997.52
437,126,112,4,186.06,744.24
438,127,40,1,450.37,450.37
439,127,58,4,307.4,1229.6
440,127,247,3,32.63,97.89
441,127,242,3,131.89,395.67
442,127,120,3,32.48,97.44
443,128,43,2,349.47,698.94
444,128,135,2,298.38,596.76
445,128,14,2,301.65,603.3
446,129,183,1,147.46,147.46
447,129,19,1,464.34,464.34
448,129,1,3,541.39,1624.17
449,130,241,2,205.2,410.4
450,130,152,1,580.76,580.76
451,130,135,3,298.38,895.14
452,130,248,3,188.2,564.6
453,130,78,1,302.79,302.79
454,131,231,3,265.93,797.79
455,131,24,3,28.9,86.7
456,131,134,3,224.13,672.39
457,131,71,3,594.55,1783.65
458,131,141,2,133.58,267.16
459,131,28,3,434.23,1302.69
460,132,57,3,128.38,385.14
461,132,141,2,133.58,267.16
462,132,138,1,371.13,371.13
463,132,68,4,188.28,753.12
464,132,217,3,369.23,1107.69
465,133,44,2,19.48,38.96
466,133,154,4,342.09,1368.36
467,133,233,2,275.42,550.84
468,133,107,4,233.92,935.68
469,133,176,3,405.74,1217.22
470,133,113,4,411.77,1647.08
471,134,47,4,595.74,2382.96
472,134,69,3,297.02,891.06
473,134,25,2,277.57,555.14
474,134,184,2,201.3,402.6
475,134,4,1,352.75,352.75
476,134,205,4,383.07,1532.28
477,135,107,1,233.92,233.92
478,135,199,3,94.94,284.82
479,135,141,3,133.58,400.74
480,135,239,2,38.46,76.92
481,135,58,2,307.4,614.8
482,136,140,4,359.22,1436.88
483,136,249,2,375.32,750.64
484,136,148,3,497.64,1492.92
485,136,218,4,126.69,506.76
486,137,202,4,467.78,1871.12
487,137,85,2,164.19,328.38
488,137,70,3,473.53,1420.59
489,137,223,3,449.24,1347.72
490,137,2,1,363.88,363.88
491,137,17,2,555.46,1110.92
492,138,233,2,275.42,550.84
493,138,112,1,186.06,186.06
494,139,52,3,135.78,407.34
495,140,66,1,87.24,87.24
496,140,113,1,411.77,411.77
497,140,62,3,185.84,557.52
498,140,210,3,141.37,424.11
499,140,209,3,101.66,304.98
500,141,178,1,505.3,505.3
501,142,19,1,464.34,464.34
502,142,213,3,266.98,800.94
503,142,197,4,297.44,1189.76
504,143,15,4,578.04,2312.16
505,143,192,2,183.66,367.32
506,143,34,4,43.41,173.64
507,143,66,4,87.24,348.96
508,144,195,4,117.88,471.52
509,144,12,1,589.84,589.84
510,145,10,1,330.8,330.8
511,146,64,1,110.72,110.72
512,146,62,1,185.84,185.84
513,146,212,1,454.26,454.26
514,146,141,1,133.58,133.58
515,146,213,4,266.98,1067.92
516,146,114,2,270.25,540.5
517,147,120,1,32.48,32.48
518,147,129,3,293.5,880.5
519,148,109,4,383.43,1533.72
520,149,157,1,28.92,28.92
521,149,235,3,172.77,518.31
522,149,148,1,497.64,497.64
523,150,93,4,296.33,1185.32
524,150,118,2,175.82,351.64
525,151,122,1,313.49,313.49
526,151,2,3,363.88,1091.64
527,151,49,1,529.8,529.8
528,152,144,4,47.39,189.56
529,152,130,2,60.89,121.78
530,152,184,1,201.3,201.3
531,152,228,1,380.46,380.46
532,152,196,2,450.47,900.94
533,153,45,2,118.21,236.42
534,153,185,1,339.64,339.64
535,153,64,3,110.72,332.16
536,153,115,4,235.12,940.48
537,154,224,2,79.62,159.24
538,154,21,1,574.25,574.25
539,154,162,4,386.04,1544.16
540,155,71,2,594.55,1189.1
541,155,179,4,200.78,803.12
542,156,185,4,339.64,1358.56
543,156,128,3,197.5,592.5
544,156,244,4,423.65,1694.6
545,157,188,4,503.7,2014.8
546,157,153,4,415.24,1660.96
547,157,19,1,464.34,464.34
548,157,166,1,82.07,82.07
549,157,93,1,296.33,296.33
550,158,25,1,277.57,277.57
551,158,96,1,541.36,541.36
552,158,37,2,43.6,87.2
553,158,52,1,135.78,135.78
554,158,135,1,298.38,298.38
555,159,229,2,165.02,330.04
556,159,110,1,524.57,524.57
557,160,181,4,314.93,1259.72
558,160,81,4,51.32,205.28
559,161,232,2,494.33,988.66
560,161,226,2,137.54,275.08
561,162,147,4,50.11,200.44
562,162,112,4,186.06,744.24
563,163,13,3,249.16,747.48
564,164,123,3,235.89,707.67
565,164,230,1,350.4,350.4
566,164,169,1,382.14,382.14
567,164,167,1,74.71,74.71
568,164,31,4,499.38,1997.52
569,165,14,2,301.65,603.3
570,165,23,3,276.19,828.57
571,165,37,2,43.6,87.2
572,165,110,3,524.57,1573.71
573,165,51,1,555.78,555.78
574,165,54,3,60.89,182.67
575,166,65,3,346.0,1038.0
576,166,224,2,79.62,159.24
577,166,123,4,235.89,943.56
578,166,64,1,110.72,110.72
579,167,220,2,168.03,336.06
580,167,169,2,382.14,764.28
581,167,52,1,135.78,135.78
582,167,242,1,131.89,131.89
583,167,32,1,610.06,610.06
584,168,90,4,138.74,554.96
585,168,221,2,627.82,1255.64
586,168,192,4,183.66,734.64
587,168,28,2,434.23,868.46
588,169,227,4,454.43,1817.72
589,169,217,3,369.23,1107.69
590,169,129,4,293.5,1174.0
591,169,31,3,499.38,1498.14
592,169,188,1,503.7,503.7
593,169,193,3,164.42,493.26
594,170,181,4,314.93,1259.72
595,171,209,1,101.66,101.66
596,171,114,1,270.25,270.25
597,172,18,3,55.2,165.6
598,172,234,1,244.66,244.66
599,172,215,1,238.44,238.44
600,172,96,2,541.36,1082.72
601,172,16,3,70.43,211.29
602,173,91,3,187.63,562.89
603,173,99,1,205.29,205.29
604,173,106,3,162.6,487.8
605,173,74,3,355.67,1067.01
606,173,56,3,238.95,716.85
607,173,196,4,450.47,1801.88
608,174,242,1,131.89,131.89
609,174,155,1,219.1,219.1
610,174,131,4,21.58,86.32
611,174,199,3,94.94,284.82
612,174,21,2,574.25,1148.5
613,174,170,3,287.23,861.69
614,175,249,4,375.32,1501.28
615,176,211,1,556.48,556.48
616,176,111,3,123.73,371.19
617,176,62,1,185.84,185.84
618,176,115,2,235.12,470.24
619,176,242,1,131.89,131.89
620,176,162,3,386.04,1158.12
621,177,168,1,316.03,316.03
622,177,22,2,125.76,251.52
623,177,238,2,262.67,525.34
624,177,2,2,363.88,727.76
625,177,32,4,610.06,2440.24
626,177,146,1,118.88,118.88
627,178,14,1,301.65,301.65
628,178,74,2,355.67,711.34
629,178,247,1,32.63,32.63
630,178,42,3,132.01,396.03
631,178,108,2,378.79,757.58
632,179,216,1,101.25,101.25
633,180,100,2,340.15,680.3
634,180,19,1,464.34,464.34
635,180,208,4,350.34,1401.36
636,180,149,1,212.48,212.48
637,180,91,3,187.63,562.89
638,181,100,3,340.15,1020.45
639,181,127,2,240.8,481.6
640,181,17,4,555.46,2221.84
641,181,87,1,509.91,509.91
642,181,162,4,386.04,1544.16
643,182,159,3,223.33,669.99
644,183,176,2,405.74,811.48
645,183,96,1,541.36,541.36
646,183,64,1,110.72,110.72
647,183,202,2,467.78,935.56
648,183,35,2,404.22,808.44
649,183,84,4,124.27,497.08
650,184,35,3,404.22,1212.66
651,184,69,4,297.02,1188.08
652,184,180,4,394.23,1576.92
653,184,176,2,405.74,811.48
654,184,211,2,556.48,1112.96
655,185,33,3,102.45,307.35
656,185,196,1,450.47,450.47
657,186,70,4,473.53,1894.12
658,186,164,4,320.2,1280.8
659,186,226,2,137.54,275.08
660,186,244,2,423.65,847.3
661,186,114,1,270.25,270.25
662,187,183,2,147.46,294.92
663,187,33,4,102.45,409.8
664,187,24,1,28.9,28.9
665,187,6,2,478.9,957.8
666,187,194,3,521.07,1563.21
667,187,56,2,238.95,477.9
668,188,119,1,142.86,142.86
669,188,104,2,287.63,575.26
670,188,74,3,355.67,1067.01
671,189,172,1,244.65,244.65
672,189,200,2,558.08,1116.16
673,189,139,4,250.55,1002.2
674,190,238,1,262.67,262.67
675,190,80,1,24.61,24.61
676,190,52,1,135.78,135.78
677,191,12,2,589.84,1179.68
678,191,73,2,200.84,401.68
679,191,223,4,449.24,1796.96
680,191,153,2,415.24,830.48
681,191,209,1,101.66,101.66
682,191,218,1,126.69,126.69
683,192,248,4,188.2,752.8
684,192,130,4,60.89,243.56
685,193,50,1,120.19,120.19
686,193,70,4,473.53,1894.12
687,193,46,2,188.18,376.36
688,193,123,4,235.89,943.56
689,193,215,3,238.44,715.32
690,193,141,2,133.58,267.16
691,194,24,2,28.9,57.8
692,194,109,2,383.43,766.86
693,194,203,4,362.8,1451.2
694,194,77,4,377.42,1509.68
695,194,186,1,232.01,232.01
696,195,85,4,164.19,656.76
697,195,193,4,164.42,657.68
698,196,189,1,603.72,603.72
699,196,241,4,205.2,820.8
700,197,68,2,188.28,376.56
701,197,85,1,164.19,164.19
702,197,79,2,440.1,880.2
703,197,242,3,131.89,395.67
704,197,183,2,147.46,294.92
705,198,120,2,32.48,64.96
706,198,168,4,316.03,1264.12
707,199,158,3,479.14,1437.42
708,199,236,1,58.2,58.2
709,199,61,1,374.3,374.3
710,199,88,3,347.53,1042.59
711,200,194,4,521.07,2084.28
712,200,58,3,307.4,922.2
713,200,109,2,383.43,766.86
714,201,23,2,276.19,552.38
715,201,40,1,450.37,450.37
716,201,188,1,503.7,503.7
717,201,74,1,355.67,355.67
718,201,66,4,87.24,348.96
719,202,133,1,310.77,310.77
720,202,74,2,355.67,711.34
721,202,88,2,347.53,695.06
722,202,41,4,245.1,980.4
723,203,1,4,541.39,2165.56
724,204,154,2,342.09,684.18
725,205,93,2,296.33,592.66
726,205,57,1,128.38,128.38
727,205,182,2,214.08,428.16
728,205,66,1,87.24,87.24
729,205,92,3,411.95,1235.85
730,206,34,4,43.41,173.64
731,206,4,3,352.75,1058.25
732,206,37,4,43.6,174.4
733,207,129,1,293.5,293.5
734,208,184,2,201.3,402.6
735,208,26,1,478.23,478.23
736,208,216,1,101.25,101.25
737,209,3,1,142.45,142.45
738,209,120,1,32.48,32.48
739,209,95,2,320.04,640.08
740,209,163,4,268.64,1074.56
741,209,12,2,589.84,1179.68
742,209,250,4,34.9,139.6
743,210,34,1,43.41,43.41
744,211,188,2,503.7,1007.4
745,211,167,3,74.71,224.13
746,212,25,3,277.57,832.71
747,212,209,2,101.66,203.32
748,212,42,1,132.01,132.01
749,212,143,3,155.0,465.0
750,212,142,3,45.22,135.66
751,213,129,3,293.5,880.5
752,213,154,1,342.09,342.09
753,213,86,1,431.1,431.1
754,213,176,4,405.74,1622.96
755,213,239,3,38.46,115.38
756,214,11,1,312.03,312.03
757,214,189,3,603.72,1811.16
758,214,3,4,142.45,569.8
759,214,232,3,494.33,1482.99
760,214,163,1,268.64,268.64
761,214,17,2,555.46,1110.92
762,215,52,3,135.78,407.34
763,215,175,1,93.86,93.86
764,215,156,4,234.14,936.56
765,215,176,1,405.74,405.74
766,215,132,4,330.55,1322.2
767,215,8,1,427.33,427.33
768,216,77,4,377.42,1509.68
769,216,74,3,355.67,1067.01
770,216,104,3,287.63,862.89
771,216,58,3,307.4,922.2
772,216,135,4,298.38,1193.52
773,217,144,4,47.39,189.56
774,218,109,1,383.43,383.43
775,218,2,1,363.88,363.88
776,218,68,2,188.28,376.56
777,219,55,3,215.38,646.14
778,219,12,4,589.84,2359.36
779,219,194,1,521.07,521.07
780,219,42,3,132.01,396.03
781,220,50,2,120.19,240.38
782,220,81,2,51.32,102.64
783,220,112,4,186.06,744.24
784,220,146,3,118.88,356.64
785,220,175,1,93.86,93.86
786,220,52,3,135.78,407.34
787,221,13,1,249.16,249.16
788,221,68,4,188.28,753.12
789,221,36,1,90.32,90.32
790,222,171,3,242.88,728.64
791,222,177,3,245.43,736.29
792,222,102,4,196.56,786.24
793,222,185,3,339.64,1018.92
794,223,197,1,297.44,297.44
795,223,222,3,81.41,244.23
796,223,230,1,350.4,350.4
797,223,136,1,299.97,299.97
798,224,37,3,43.6,130.8
799,224,145,3,362.85,1088.55
800,224,202,2,467.78,935.56
801,224,236,2,58.2,116.4
802,225,112,2,186.06,372.12
803,226,194,4,521.07,2084.28
804,226,64,3,110.72,332.16
805,226,12,3,589.84,1769.52
806,227,230,4,350.4,1401.6
807,227,42,3,132.01,396.03
808,228,102,4,196.56,786.24
809,229,24,3,28.9,86.7
810,230,81,1,51.32,51.32
811,230,33,4,102.45,409.8
812,231,19,3,464.34,1393.02
813,231,31,4,499.38,1997.52
814,232,120,4,32.48,129.92
815,232,131,4,21.58,86.32
816,233,43,1,349.47,349.47
817,233,142,4,45.22,180.88
818,233,213,4,266.98,1067.92
819,233,135,4,298.38,1193.52
820,233,124,2,388.77,777.54
821,234,87,3,509.91,1529.73
822,234,45,3,118.21,354.63
823,234,36,3,90.32,270.96
824,234,223,2,449.24,898.48
825,235,170,2,287.23,574.46
826,235,21,4,574.25,2297.0
827,235,186,3,232.01,696.03
828,235,185,3,339.64,1018.92
829,235,7,1,53.23,53.23
830,236,233,2,275.42,550.84
831,237,55,1,215.38,215.38
832,237,31,2,499.38,998.76
833,237,152,1,580.76,580.76
834,237,67,2,136.1,272.2
835,237,196,4,450.47,1801.88
836,237,26,1,478.23,478.23
837,238,57,1,128.38,128.38
838,238,124,3,388.77,1166.31
839,238,28,3,434.23,1302.69
840,238,92,4,411.95,1647.8
841,238,164,4,320.2,1280.8
842,238,146,1,118.88,118.88
843,239,13,4,249.16,996.64
844,239,76,2,450.31,900.62
845,239,211,1,556.48,556.48
846,239,129,2,293.5,587.0
847,239,201,1,496.81,496.81
848,240,66,3,87.24,261.72
849,241,6,1,478.9,478.9
850,241,22,3,125.76,377.28
851,241,145,1,362.85,362.85
852,241,130,3,60.89,182.67
853,242,127,4,240.8,963.2
854,242,116,2,108.97,217.94
855,242,237,2,52.77,105.54
856,242,199,3,94.94,284.82
857,242,13,3,249.16,747.48
858,242,214,3,288.6,865.8
