product_id,product_name,category_id,brand,unit_price,unit_cost,shelf_life_days,is_active
183,After Skin Care,20,NatureFirst,147.46,126.79,365,True
184,Brother Frozen Snacks,28,SnackHouse,201.3,149.8,90,True
185,Woman Namkeen,15,PureLeaf,339.64,275.9,3,True
186,Him Skin Care,20,UrbanKitchen,232.01,159.19,90,True
187,Unit Hair Care,21,HomeCare,240.03,189.85,180,False
188,Theory Oral Care,22,GreenValley,503.7,323.81,7,True
189,Surface Bread,25,HomeCare,603.72,378.64,180,True
190,Food Skin Care,20,HomeCare,378.5,279.22,7,True
191,Education Juices,18,QuickBite,410.67,342.8,90,True
192,Article Fresh Vegetables,10,FreshCo,183.66,125.39,365,True
193,Effect Skin Care,20,FreshCo,164.42,117.05,90,True
194,Unit Ice Cream,27,SnackHouse,521.07,334.81,90,True
195,Our Milk,11,HomeCare,117.88,95.41,180,True
196,Your Cereal,12,PureLeaf,450.47,309.31,180,True
197,Bar Milk,11,UrbanKitchen,297.44,254.71,3,True
198,Bed Milk,11,HomeCare,351.95,295.62,15,True
199,Sign Soft Drinks,17,GreenValley,94.94,78.5,15,True
200,Mention Eggs,13,HomeCare,558.08,366.26,365,True
201,Team Fresh Vegetables,10,NatureFirst,496.81,387.28,365,True
202,Authority Frozen Snacks,28,SnackHouse,467.78,385.53,365,True
203,Soon Soft Drinks,17,GreenValley,362.8,273.02,15,True
204,No Bread,25,DailyBasket,207.96,163.88,30,True
205,Space Tea & Coffee,19,QuickBite,383.07,302.11,365,True
206,Car Cereal,12,UrbanKitchen,225.13,154.87,3,True
207,Career Tea & Coffee,19,PrimeGoods,490.29,377.84,7,True
208,Receive Cakes,26,HomeCare,350.34,257.81,180,True
209,May Namkeen,15,HomeCare,101.66,64.51,30,True
210,Your Milk,11,QuickBite,141.37,101.57,30,True
211,Often Tea & Coffee,19,GreenValley,556.48,380.26,30,True
212,Company Cakes,26,DailyBasket,454.26,293.37,365,True
213,Evidence Tea & Coffee,19,FreshCo,266.98,169.17,180,True
214,News Cleaning Supplies,23,NatureFirst,288.6,182.92,3,True
215,Turn Skin Care,20,NatureFirst,238.44,153.26,3,True
216,Policy Soft Drinks,17,UrbanKitchen,101.25,84.03,3,True
217,Land Cereal,12,FreshCo,369.23,260.26,3,True
218,Development Ice Cream,27,PrimeGoods,126.69,104.99,7,True
219,Woman Cakes,26,SnackHouse,383.42,308.41,365,True
220,Notice Juices,18,PrimeGoods,168.03,138.14,3,True
221,Someone Frozen Snacks,28,GreenValley,627.82,393.77,15,True
222,Show Juices,18,PureLeaf,81.41,52.87,3,True
223,Road Laundry,24,FreshCo,449.24,317.49,7,True
224,Deep Laundry,24,DailyBasket,79.62,59.44,180,True
225,Sell Fresh Vegetables,10,PrimeGoods,242.67,184.83,3,True
226,Forget Eggs,13,GreenValley,137.54,96.4,15,True
227,Inside Laundry,24,UrbanKitchen,454.43,385.97,365,True
228,Remain Chips,14,UrbanKitchen,380.46,277.58,3,True
229,Rate Cereal,12,PureLeaf,165.02,135.62,15,True
230,Hour Cakes,26,QuickBite,350.4,238.29,90,True
231,Left Milk,11,DailyBasket,265.93,186.95,365,True
232,We Chips,14,GreenValley,494.33,342.59,180,True
233,Nation Cakes,26,QuickBite,275.42,177.73,15,True
234,Live Bread,25,NatureFirst,244.66,165.5,30,True
235,Camera Chips,14,UrbanKitchen,172.77,109.41,3,True
236,End Juices,18,NatureFirst,58.2,43.29,365,True
237,Down Namkeen,15,GreenValley,52.77,33.39,15,True
238,Attack Hair Care,21,QuickBite,262.67,170.22,365,True
239,Ground Laundry,24,HomeCare,38.46,30.06,15,True
240,Against Frozen Snacks,28,UrbanKitchen,253.55,207.89,7,True
241,Per Cereal,12,DailyBasket,205.2,146.54,365,True
242,Once Cereal,12,GreenValley,131.89,98.2,365,True
243,Drug Juices,18,FreshCo,358.78,249.29,90,True
244,Per Soft Drinks,17,PureLeaf,423.65,333.49,15,True
245,Discussion Fresh Fruits,9,FreshCo,170.03,130.5,7,True
246,Account Bread,25,PureLeaf,307.14,230.87,180,True
247,Avoid Cleaning Supplies,23,SnackHouse,32.63,21.96,30,True
248,Second Cakes,26,NatureFirst,188.2,142.95,365,True
249,Program Cleaning Supplies,23,PureLeaf,375.32,242.53,7,True
250,Artist Chocolates,16,UrbanKitchen,34.9,29.41,180,True

