return_id,order_item_id,return_reason,return_date,refund_amount
63,1821,Quality issue,2026-05-16,960.6
64,1824,Item expired,2026-05-16,418.66
65,1877,Item expired,2026-07-17,718.44
66,1883,Wrong item delivered,2026-05-14,1742.28
67,1881,Damaged product,2026-05-12,294.92
68,1880,Wrong item delivered,2026-05-15,350.76
69,1882,Item expired,2026-05-14,385.14
70,1902,Item expired,2026-04-17,395.67
71,1982,Quality issue,2026-03-02,1191.48
72,1979,Item expired,2026-02-28,60.89
73,1981,Quality issue,2026-03-01,704.88
74,2111,Damaged product,2026-07-21,529.8
75,2304,Damaged product,2026-05-05,129.92
76,2442,Wrong item delivered,2026-06-08,428.58
77,2446,Changed mind,2026-02-22,696.03
78,2506,Changed mind,2026-03-08,296.33
79,2507,Quality issue,2026-03-08,1351.11
80,2508,Wrong item delivered,2026-03-08,238.95
81,2542,Wrong item delivered,2026-02-19,996.64
82,2545,Wrong item delivered,2026-02-17,1217.22
83,2543,Item expired,2026-02-18,505.3
84,2546,Changed mind,2026-02-17,704.88
85,2547,Item expired,2026-02-17,820.8
86,2544,Item expired,2026-02-19,766.84
87,2651,Item expired,2026-03-31,707.67
88,2650,Damaged product,2026-04-02,705.36
89,2717,Item expired,2026-04-29,485.34
90,2715,Wrong item delivered,2026-04-25,271.56
91,2716,Item expired,2026-04-28,170.03
92,2713,Damaged product,2026-04-26,1025.4
93,2937,Item expired,2026-06-20,200.78
94,2935,Quality issue,2026-06-18,90.32
95,2938,Wrong item delivered,2026-06-18,1243.08
96,2936,Changed mind,2026-06-20,527.56
97,2980,Damaged product,2026-06-23,971.52
98,2981,Changed mind,2026-06-21,751.65
99,2987,Wrong item delivered,2026-05-18,47.39
100,3121,Wrong item delivered,2026-06-29,716.34
101,3124,Changed mind,2026-03-07,555.78
102,3185,Item expired,2026-05-01,1830.18
103,3187,Quality issue,2026-05-01,86.7
104,3217,Item expired,2026-07-25,705.6
105,3309,Changed mind,2026-08-07,1397.88
106,3305,Changed mind,2026-08-06,1191.48
107,3307,Quality issue,2026-08-09,1149.21
108,3306,Quality issue,2026-08-08,498.32
109,3364,Damaged product,2026-04-11,1470.87
110,3363,Changed mind,2026-04-09,1509.68
111,3365,Damaged product,2026-04-11,1801.24
112,3555,Item expired,2026-06-19,183.66
113,3576,Quality issue,2026-03-20,805.2
114,3575,Changed mind,2026-03-18,1411.0
115,3689,Wrong item delivered,2026-03-08,60.89
116,3692,Damaged product,2026-03-08,141.37
117,3688,Wrong item delivered,2026-03-07,734.64
118,3695,Wrong item delivered,2026-03-13,467.68
119,3693,Changed mind,2026-03-15,615.6
120,3726,Wrong item delivered,2026-04-30,217.94
121,3725,Wrong item delivered,2026-05-04,481.6
122,3723,Wrong item delivered,2026-05-04,128.38
123,3727,Item expired,2026-05-03,1724.4
124,3724,Wrong item delivered,2026-04-30,980.58
125,3813,Wrong item delivered,2026-07-11,614.8
126,3815,Quality issue,2026-07-11,446.66
127,3812,Changed mind,2026-07-09,718.44
128,3811,Wrong item delivered,2026-07-10,45.22
129,3818,Damaged product,2026-08-07,1801.88
130,3817,Quality issue,2026-08-06,1351.11
131,3941,Changed mind,2026-04-22,2511.28
132,4046,Wrong item delivered,2026-06-02,1987.24
133,4049,Quality issue,2026-07-02,158.31
134,4050,Damaged product,2026-07-01,401.56
135,4051,Item expired,2026-07-02,1132.26
136,4190,Changed mind,2026-06-18,821.16
137,4196,Changed mind,2026-05-31,72.21
138,4247,Damaged product,2026-05-08,627.99
139,4246,Wrong item delivered,2026-05-09,87.2
140,4354,Damaged product,2026-06-18,1067.92
141,4353,Wrong item delivered,2026-06-20,460.49
142,4414,Item expired,2026-06-24,861.52
143,4412,Quality issue,2026-06-24,58.2
144,4411,Quality issue,2026-06-26,1023.86
145,4413,Wrong item delivered,2026-06-28,1110.28
146,4415,Item expired,2026-05-21,615.6
147,4417,Wrong item delivered,2026-05-21,272.2
148,4701,Item expired,2026-06-09,733.98
149,4786,Changed mind,2026-07-01,1390.12
150,4784,Changed mind,2026-06-30,675.39
151,4785,Item expired,2026-07-04,637.44
152,4819,Wrong item delivered,2026-03-31,350.76
153,4822,Wrong item delivered,2026-03-28,633.72
154,4820,Wrong item delivered,2026-03-31,371.19
155,4821,Changed mind,2026-03-31,379.76
156,4843,Changed mind,2026-06-27,328.38
157,4842,Item expired,2026-06-27,504.09
158,4839,Damaged product,2026-06-28,1158.12
159,4841,Wrong item delivered,2026-06-25,541.36
160,4978,Quality issue,2026-02-15,174.33
161,4977,Wrong item delivered,2026-02-17,328.38
162,4979,Changed mind,2026-02-18,1422.68
163,5071,Item expired,2026-06-23,1532.28
164,5072,Quality issue,2026-06-20,1081.0
165,5240,Wrong item delivered,2026-04-03,45.22
166,5243,Damaged product,2026-04-05,978.6
167,5244,Item expired,2026-04-07,2223.12
168,5379,Item expired,2026-05-04,558.08
169,5397,Damaged product,2026-08-03,873.54
170,5395,Damaged product,2026-08-02,294.92
171,5396,Damaged product,2026-07-31,118.88
172,5399,Item expired,2026-03-26,355.11
173,5400,Wrong item delivered,2026-03-24,86.76
174,5485,Wrong item delivered,2026-07-14,91.12
175,5602,Damaged product,2026-05-15,1048.41
176,5600,Wrong item delivered,2026-05-17,544.4
177,5665,Changed mind,2026-03-13,454.43
178,5664,Item expired,2026-03-09,764.28
179,5669,Quality issue,2026-07-03,153.96
180,5668,Damaged product,2026-07-03,262.67
181,5723,Quality issue,2026-04-27,821.0
182,5726,Damaged product,2026-04-28,1164.72
183,5824,Quality issue,2026-03-01,312.03
184,5827,Changed mind,2026-02-28,263.78
185,5836,Wrong item delivered,2026-03-15,501.1
186,5835,Wrong item delivered,2026-03-14,233.92
187,5833,Quality issue,2026-03-16,196.56
188,5837,Quality issue,2026-03-17,207.96
189,5967,Wrong item delivered,2026-06-10,205.28
190,6059,Wrong item delivered,2026-05-02,100.22
191,6163,Quality issue,2026-02-24,32.63
192,6168,Damaged product,2026-02-23,77.92
193,6166,Quality issue,2026-02-24,60.89
194,6243,Quality issue,2026-05-13,256.79
195,6318,Item expired,2026-03-21,1104.76
196,6326,Changed mind,2026-04-09,993.62
197,6327,Quality issue,2026-04-09,705.36
198,6383,Quality issue,2026-06-20,132.01
199,6491,Item expired,2026-05-30,244.23
200,6492,Changed mind,2026-05-29,735.3
201,6677,Item expired,2026-06-19,211.08
202,6675,Quality issue,2026-06-19,371.68
203,6957,Quality issue,2026-04-19,939.84
204,6955,Damaged product,2026-04-19,1323.2
205,6956,Changed mind,2026-04-16,705.5
206,7011,Quality issue,2026-03-01,118.88
207,7013,Changed mind,2026-02-27,97.89
208,7012,Changed mind,2026-03-01,150.33
209,7014,Quality issue,2026-02-26,2223.12
210,7068,Changed mind,2026-04-05,595.72
211,7071,Item expired,2026-04-01,995.28
212,7069,Wrong item delivered,2026-04-01,216.63
213,7302,Quality issue,2026-06-05,405.74
214,7300,Damaged product,2026-06-03,73.83
215,7298,Changed mind,2026-06-03,350.4
216,7301,Item expired,2026-06-01,142.86
217,7299,Wrong item delivered,2026-06-03,1255.64
218,7303,Damaged product,2026-06-19,174.48
219,7314,Quality issue,2026-02-09,574.46
220,7312,Damaged product,2026-02-09,77.92
221,7315,Damaged product,2026-02-13,410.4
222,7313,Quality issue,2026-02-12,766.84
223,7316,Changed mind,2026-02-12,564.54
224,7350,Damaged product,2026-07-07,207.96
225,7349,Damaged product,2026-07-04,212.92
226,7491,Changed mind,2026-06-20,1156.08
227,7492,Damaged product,2026-06-20,238.86
228,7494,Changed mind,2026-06-18,1281.99
229,7774,Quality issue,2026-06-22,1528.56
230,8085,Quality issue,2026-04-25,2421.64
231,8094,Item expired,2026-02-11,1358.56
232,8112,Wrong item delivered,2026-03-30,557.52
233,8114,Wrong item delivered,2026-03-30,244.66
234,8113,Quality issue,2026-03-30,100.22
235,8120,Item expired,2026-04-27,1647.8
236,8157,Wrong item delivered,2026-02-26,58.2
237,8170,Quality issue,2026-03-28,873.54
238,8183,Damaged product,2026-02-25,175.82
239,8301,Changed mind,2026-06-11,808.44
240,8300,Damaged product,2026-06-08,1146.42
241,8487,Damaged product,2026-07-06,637.44
242,8489,Wrong item delivered,2026-07-03,188.18
243,8490,Changed mind,2026-07-03,555.78
244,8488,Changed mind,2026-07-03,490.86
245,8502,Wrong item delivered,2026-02-14,751.65
246,8550,Damaged product,2026-06-19,140.86
247,8630,Damaged product,2026-05-11,234.14
248,8631,Damaged product,2026-05-10,464.34
249,8690,Quality issue,2026-05-17,958.28
250,8687,Changed mind,2026-05-14,211.24
251,8689,Changed mind,2026-05-15,2047.72
252,8688,Changed mind,2026-05-14,377.06
253,8703,Damaged product,2026-03-08,1363.29
254,8704,Quality issue,2026-03-12,493.26
255,8705,Item expired,2026-03-10,499.38
256,8721,Item expired,2026-04-07,51.32
257,8720,Damaged product,2026-04-05,1589.4
258,8781,Item expired,2026-07-14,411.95
259,8809,Wrong item delivered,2026-04-06,837.02
260,8813,Quality issue,2026-04-04,562.89
261,8811,Damaged product,2026-04-03,57.8
262,8812,Quality issue,2026-04-03,1760.4
263,8810,Damaged product,2026-04-05,1174.0
264,8867,Changed mind,2026-03-08,861.52
265,8925,Wrong item delivered,2026-07-25,153.84
266,8923,Changed mind,2026-07-22,53.23
267,8927,Wrong item delivered,2026-07-26,1038.0
268,8926,Changed mind,2026-07-23,50.11
269,9030,Changed mind,2026-02-09,320.2
270,9088,Item expired,2026-06-07,602.34
271,9089,Quality issue,2026-06-05,574.25
272,9167,Changed mind,2026-06-04,1010.6
273,9192,Item expired,2026-02-21,170.03
274,9198,Wrong item delivered,2026-03-07,1156.08
275,9193,Quality issue,2026-03-03,219.1
276,9197,Changed mind,2026-03-06,1255.64
277,9195,Item expired,2026-03-03,1436.7
278,9291,Wrong item delivered,2026-05-14,467.78
279,9288,Damaged product,2026-05-17,552.38
280,9308,Changed mind,2026-02-16,211.29
281,9306,Changed mind,2026-02-16,287.63
282,9307,Quality issue,2026-02-13,873.54
283,9362,Wrong item delivered,2026-05-25,243.56
284,9363,Changed mind,2026-05-24,646.14
285,9502,Changed mind,2026-03-21,893.32
286,9729,Item expired,2026-06-07,501.1
287,9772,Wrong item delivered,2026-05-26,224.13
288,9773,Changed mind,2026-05-26,1051.2
289,9782,Damaged product,2026-07-25,47.39
290,9779,Changed mind,2026-07-23,743.46
291,9856,Wrong item delivered,2026-05-05,1734.12
292,9858,Wrong item delivered,2026-05-04,214.08
293,9857,Damaged product,2026-05-06,480.76
294,9854,Damaged product,2026-05-06,159.24
295,9855,Quality issue,2026-05-02,205.25
296,9921,Item expired,2026-02-09,1422.68
297,9918,Damaged product,2026-02-10,1042.59
298,9928,Wrong item delivered,2026-02-21,460.49
299,9976,Item expired,2026-03-24,1490.43
300,9983,Changed mind,2026-07-19,757.0
301,10151,Quality issue,2026-06-21,1403.34
302,10150,Damaged product,2026-06-20,345.54
303,10214,Quality issue,2026-03-05,118.21
304,10212,Quality issue,2026-03-03,307.4
305,10210,Changed mind,2026-03-05,875.48
306,10211,Wrong item delivered,2026-03-01,1116.16
307,10274,Quality issue,2026-05-06,250.55
308,10303,Wrong item delivered,2026-04-14,552.38
309,10302,Damaged product,2026-04-14,490.86
310,10306,Wrong item delivered,2026-04-14,521.07
311,10304,Quality issue,2026-04-15,657.3
312,10301,Damaged product,2026-04-14,580.76
313,10305,Item expired,2026-04-12,533.96
314,10321,Damaged product,2026-07-05,272.2
315,10317,Changed mind,2026-07-06,1760.4
316,10426,Item expired,2026-03-18,1669.77
317,10685,Wrong item delivered,2026-03-17,211.29
318,10684,Item expired,2026-03-15,104.7
319,10683,Damaged product,2026-03-14,132.01
320,10687,Item expired,2026-03-15,464.34
321,10686,Item expired,2026-03-17,1025.4
322,10690,Damaged product,2026-05-05,380.07
323,10692,Damaged product,2026-05-05,1135.5
324,10691,Item expired,2026-05-04,704.88
325,10693,Changed mind,2026-05-01,277.48
326,10695,Quality issue,2026-05-02,328.28
327,10694,Damaged product,2026-05-03,155.0
328,10818,Item expired,2026-07-07,1997.52
329,10867,Quality issue,2026-03-15,97.44
330,10889,Damaged product,2026-06-25,2223.12
331,10887,Item expired,2026-06-25,2039.64
332,10888,Quality issue,2026-06-25,1074.56
333,10892,Changed mind,2026-06-28,352.75
334,11045,Damaged product,2026-06-28,509.91
335,11043,Wrong item delivered,2026-06-29,270.96
336,11042,Damaged product,2026-06-27,446.66
337,11041,Item expired,2026-06-26,748.6
338,11109,Changed mind,2026-06-01,1801.88
339,11108,Damaged product,2026-05-31,265.93
340,11110,Damaged product,2026-06-04,2119.2
341,11107,Damaged product,2026-06-02,263.78
342,11208,Changed mind,2026-05-31,1042.14
343,11209,Quality issue,2026-06-01,58.44
344,11374,Damaged product,2026-07-29,691.08
345,11371,Changed mind,2026-07-29,1049.14
346,11385,Damaged product,2026-02-22,1841.96
347,11439,Quality issue,2026-06-16,856.32
348,11640,Quality issue,2026-04-16,571.44
349,11669,Wrong item delivered,2026-04-29,497.08
350,11671,Quality issue,2026-05-02,1141.38
351,11670,Damaged product,2026-04-30,837.02
352,11686,Wrong item delivered,2026-07-18,1187.73
353,11685,Item expired,2026-07-17,786.24
354,11682,Item expired,2026-07-18,1434.69
355,11683,Damaged product,2026-07-18,605.41
356,11709,Item expired,2026-07-20,498.32
357,11708,Wrong item delivered,2026-07-20,963.2
358,11724,Item expired,2026-07-19,302.79
359,11726,Damaged product,2026-07-22,960.6
360,11725,Quality issue,2026-07-20,1358.56
361,11727,Wrong item delivered,2026-07-18,427.35
362,11739,Item expired,2026-07-23,114.78
363,11736,Wrong item delivered,2026-07-24,602.34
364,11737,Damaged product,2026-07-26,410.5
365,11856,Wrong item delivered,2026-03-05,805.2
366,12084,Damaged product,2026-07-08,1555.08
367,12105,Wrong item delivered,2026-07-12,1110.28
368,12106,Quality issue,2026-07-11,970.68
369,12201,Item expired,2026-04-27,91.12
370,12200,Quality issue,2026-04-29,868.46
371,12306,Damaged product,2026-05-12,298.84
372,12304,Wrong item delivered,2026-05-12,821.34
373,12303,Item expired,2026-05-13,1191.48
374,12305,Item expired,2026-05-13,1281.99
375,12307,Item expired,2026-05-10,465.0
376,12461,Damaged product,2026-04-01,1709.32
377,12489,Damaged product,2026-04-09,1131.18
378,12488,Quality issue,2026-04-09,981.72
379,12490,Wrong item delivered,2026-04-09,1857.36
380,12571,Damaged product,2026-07-18,1358.56
381,12566,Changed mind,2026-07-18,135.66
382,12567,Item expired,2026-07-17,38.46
383,12568,Damaged product,2026-07-17,895.14
384,12569,Quality issue,2026-07-18,350.4
385,12570,Item expired,2026-07-19,1384.0
386,12658,Damaged product,2026-03-31,738.46
387,12659,Changed mind,2026-03-30,513.58
388,12661,Changed mind,2026-04-03,615.6
389,12660,Changed mind,2026-03-30,407.34
390,12771,Changed mind,2026-03-28,1437.42
391,12770,Changed mind,2026-03-27,632.06
392,12859,Item expired,2026-06-21,350.34
393,12857,Damaged product,2026-06-23,978.6
394,12855,Damaged product,2026-06-24,555.78
395,12854,Changed mind,2026-06-21,991.65
396,12856,Item expired,2026-06-21,118.88
397,12941,Changed mind,2026-05-25,196.56
398,13102,Item expired,2026-03-21,868.46
399,13103,Damaged product,2026-03-23,379.76
400,13101,Quality issue,2026-03-21,1212.66
401,13118,Item expired,2026-08-09,1217.22
402,13121,Quality issue,2026-08-07,1104.76
403,13120,Item expired,2026-08-05,1058.25
404,13152,Item expired,2026-03-07,661.6
405,13154,Quality issue,2026-03-08,90.44
406,13153,Wrong item delivered,2026-03-06,790.0
407,13151,Damaged product,2026-03-07,52.77
408,13186,Item expired,2026-07-15,1076.34
409,13184,Item expired,2026-07-13,302.79
410,13187,Changed mind,2026-07-15,594.04
411,13188,Damaged product,2026-07-16,823.9
412,13242,Damaged product,2026-02-06,1150.52
413,13301,Damaged product,2026-02-26,188.28
414,13299,Wrong item delivered,2026-02-28,232.01
415,13300,Item expired,2026-02-25,908.37
416,13423,Damaged product,2026-05-11,506.76
417,13487,Item expired,2026-05-16,640.4
418,13555,Changed mind,2026-02-26,132.01
419,13552,Item expired,2026-02-25,1651.59
420,13550,Damaged product,2026-02-23,242.88
421,13551,Wrong item delivered,2026-02-27,557.52
422,13625,Damaged product,2026-06-22,1148.5
423,13649,Item expired,2026-02-27,935.68
424,13650,Item expired,2026-03-01,980.4
425,13648,Changed mind,2026-02-27,401.56
426,13657,Item expired,2026-07-06,1235.85
427,13825,Item expired,2026-06-23,458.76
428,13826,Wrong item delivered,2026-06-24,1248.12
429,13829,Item expired,2026-06-22,65.26
430,13827,Quality issue,2026-06-20,1212.66
431,13828,Changed mind,2026-06-23,1074.56
432,13859,Damaged product,2026-05-07,1476.92
433,13967,Item expired,2026-02-20,221.44
434,13968,Quality issue,2026-02-19,407.34
435,13969,Wrong item delivered,2026-02-19,494.92
436,14039,Damaged product,2026-06-06,395.0
437,14038,Damaged product,2026-06-03,556.48
438,14037,Quality issue,2026-06-05,205.2
439,14036,Damaged product,2026-06-06,805.92
440,14204,Quality issue,2026-04-16,770.37
441,14270,Changed mind,2026-02-11,582.36
442,14271,Damaged product,2026-02-10,1081.0
443,14322,Changed mind,2026-06-25,110.72
444,14321,Wrong item delivered,2026-06-25,504.09
445,14362,Wrong item delivered,2026-02-18,633.94
446,14363,Item expired,2026-02-20,1110.28
447,14466,Wrong item delivered,2026-07-07,534.32
448,14465,Wrong item delivered,2026-07-07,506.76
449,14751,Damaged product,2026-03-22,310.77
450,14770,Damaged product,2026-07-04,249.16
451,14771,Damaged product,2026-07-06,242.88
452,14769,Damaged product,2026-07-07,284.82
453,14790,Wrong item delivered,2026-03-28,788.01
454,14789,Wrong item delivered,2026-03-26,571.44
455,14788,Damaged product,2026-03-25,209.33
456,14791,Item expired,2026-03-28,821.0
457,14792,Damaged product,2026-03-25,1027.16
458,14793,Item expired,2026-03-26,1381.47
459,14981,Damaged product,2026-07-05,786.24
460,14980,Changed mind,2026-07-03,1667.34
461,15038,Item expired,2026-03-26,328.38
462,15042,Item expired,2026-03-25,472.84
463,15041,Quality issue,2026-03-29,330.04
464,15108,Item expired,2026-07-03,304.98
465,15107,Item expired,2026-07-01,2323.04
466,15111,Quality issue,2026-07-04,1185.32
467,15110,Quality issue,2026-07-02,603.9
468,15109,Quality issue,2026-07-05,550.53
469,15117,Quality issue,2026-06-20,1076.34
470,15118,Changed mind,2026-06-19,32.48
471,15116,Changed mind,2026-06-18,310.0
472,15167,Item expired,2026-04-21,164.14
473,15168,Changed mind,2026-04-24,224.13
474,15205,Quality issue,2026-07-12,939.84
475,15207,Changed mind,2026-07-14,304.98
476,15206,Damaged product,2026-07-13,52.77
477,15208,Wrong item delivered,2026-07-13,602.52
478,15297,Wrong item delivered,2026-07-03,657.3
479,15296,Item expired,2026-07-04,2232.32
480,15328,Quality issue,2026-06-11,680.12
481,15327,Wrong item delivered,2026-06-11,602.34
482,15326,Changed mind,2026-06-07,32.48
483,15329,Quality issue,2026-06-09,786.24
484,15459,Damaged product,2026-04-22,701.76
485,15461,Item expired,2026-04-21,777.54
486,15676,Changed mind,2026-03-21,189.88
487,15675,Wrong item delivered,2026-03-19,718.44
488,15674,Item expired,2026-03-23,118.88
489,15748,Item expired,2026-04-30,74.71
490,15747,Item expired,2026-04-29,320.04
491,15746,Quality issue,2026-04-29,1154.4
492,15745,Changed mind,2026-04-29,200.84
493,15744,Wrong item delivered,2026-04-28,1091.64
494,15881,Damaged product,2026-08-02,45.22
495,15880,Item expired,2026-08-02,375.44
496,15882,Changed mind,2026-08-02,513.52
497,15930,Quality issue,2026-07-28,2047.72
498,15929,Item expired,2026-08-01,553.14
499,15927,Item expired,2026-08-01,940.47
500,15936,Quality issue,2026-07-10,1116.16
501,15934,Changed mind,2026-07-10,675.39
502,15935,Item expired,2026-07-14,868.46
503,16187,Quality issue,2026-07-10,256.76
504,16189,Item expired,2026-07-11,920.98
505,16186,Wrong item delivered,2026-07-14,550.98
506,16214,Damaged product,2026-06-19,669.99
507,16212,Item expired,2026-06-22,1787.22
508,16215,Damaged product,2026-06-20,442.88
509,16216,Damaged product,2026-06-20,555.78
510,16257,Item expired,2026-03-02,2047.72
511,16254,Quality issue,2026-03-05,79.62
512,16258,Item expired,2026-03-05,1669.77
513,16253,Wrong item delivered,2026-03-05,1583.64
514,16255,Changed mind,2026-03-02,1199.88
515,16256,Wrong item delivered,2026-03-01,1055.85
516,16296,Changed mind,2026-07-08,505.3
517,16377,Item expired,2026-02-20,1498.14
518,16435,Quality issue,2026-07-01,249.16
519,16449,Quality issue,2026-05-10,362.8
520,16447,Quality issue,2026-05-07,203.32
521,16448,Item expired,2026-05-07,172.77
522,16446,Quality issue,2026-05-09,293.5
523,16505,Wrong item delivered,2026-03-27,481.6
524,16629,Damaged product,2026-05-19,251.52
525,16625,Damaged product,2026-05-22,300.72
526,16628,Item expired,2026-05-23,454.43
527,16627,Damaged product,2026-05-22,1674.04
528,16710,Damaged product,2026-08-05,748.6
529,16732,Wrong item delivered,2026-05-31,38.46
530,16752,Item expired,2026-02-26,205.25
531,16754,Wrong item delivered,2026-03-01,970.68
532,16792,Item expired,2026-03-18,116.92
533,16816,Damaged product,2026-02-16,611.68
534,16909,Item expired,2026-02-16,28.92
535,16944,Damaged product,2026-05-29,490.2
536,16945,Changed mind,2026-06-01,1076.34
537,17009,Damaged product,2026-07-16,1622.96
538,17014,Item expired,2026-04-09,528.04
539,17092,Quality issue,2026-03-04,2226.36
540,17091,Damaged product,2026-03-06,553.14
541,17353,Item expired,2026-07-20,1509.68
542,17356,Item expired,2026-07-22,594.04
543,17358,Wrong item delivered,2026-07-22,240.38
544,17354,Changed mind,2026-07-24,672.12
545,17355,Item expired,2026-07-23,1722.75
546,17365,Wrong item delivered,2026-03-01,1407.8
547,17364,Changed mind,2026-03-04,50.11
548,17363,Changed mind,2026-03-04,234.96
549,17446,Wrong item delivered,2026-04-08,411.95
550,17532,Wrong item delivered,2026-03-05,94.78
551,17531,Item expired,2026-03-06,116.4
552,17533,Changed mind,2026-03-04,950.91
553,17585,Quality issue,2026-04-07,541.39
554,17586,Item expired,2026-03-08,401.56
555,17658,Quality issue,2026-07-09,1018.92
556,17698,Item expired,2026-07-23,196.56
557,17699,Item expired,2026-07-25,637.32
558,17775,Changed mind,2026-07-05,589.84
559,17778,Changed mind,2026-07-02,2225.92
560,17774,Item expired,2026-07-05,1647.8
561,17776,Quality issue,2026-07-02,1270.95
562,17969,Changed mind,2026-04-09,205.29
563,17967,Quality issue,2026-04-10,1038.0
564,17968,Item expired,2026-04-12,32.63
565,18104,Changed mind,2026-08-08,264.02
566,18125,Changed mind,2026-03-26,28.9
567,18169,Damaged product,2026-02-17,188.28
568,18168,Quality issue,2026-02-16,922.2
569,18178,Quality issue,2026-07-17,711.34
570,18187,Changed mind,2026-02-15,684.18
571,18186,Changed mind,2026-02-15,256.76
572,18259,Changed mind,2026-06-11,1187.73
573,18260,Quality issue,2026-06-11,364.48
574,18304,Changed mind,2026-07-17,1146.42
575,18320,Quality issue,2026-03-22,640.4
576,18318,Damaged product,2026-03-22,797.79
577,18319,Quality issue,2026-03-22,700.8
578,18317,Item expired,2026-03-22,408.3
579,18341,Wrong item delivered,2026-06-30,1007.4
580,18441,Quality issue,2026-03-01,372.12
581,18442,Damaged product,2026-02-27,188.2
582,18472,Item expired,2026-05-19,175.82
583,18475,Wrong item delivered,2026-05-19,1977.32
584,18473,Item expired,2026-05-22,485.34
585,18476,Damaged product,2026-05-20,571.44
586,18540,Changed mind,2026-07-15,266.98
587,18565,Quality issue,2026-06-17,2165.56
588,18566,Damaged product,2026-06-17,826.26
589,18590,Damaged product,2026-05-13,405.0
590,18591,Quality issue,2026-05-11,1166.31
591,18589,Wrong item delivered,2026-05-12,1211.16
592,18682,Changed mind,2026-04-27,527.56
593,18681,Quality issue,2026-04-29,401.68
594,18687,Wrong item delivered,2026-06-29,221.44
595,18697,Quality issue,2026-06-23,876.4
596,18819,Changed mind,2026-07-22,470.24
597,18900,Damaged product,2026-03-29,1150.29
598,18902,Wrong item delivered,2026-03-29,235.76
599,18901,Wrong item delivered,2026-03-27,1484.52
600,18903,Wrong item delivered,2026-03-27,155.0
601,18899,Damaged product,2026-03-27,1187.73
602,18911,Changed mind,2026-03-07,304.98
603,18925,Item expired,2026-06-20,956.46
604,19283,Quality issue,2026-02-12,805.92
605,19324,Damaged product,2026-07-13,383.07
606,19322,Wrong item delivered,2026-07-14,1817.04
607,19323,Quality issue,2026-07-14,224.13
608,19326,Quality issue,2026-07-15,207.96
609,19331,Changed mind,2026-07-14,1514.0
610,19332,Quality issue,2026-07-14,1148.92
611,19422,Wrong item delivered,2026-06-04,118.21
612,19463,Quality issue,2026-06-06,478.9
613,19461,Damaged product,2026-06-08,355.11
614,19532,Changed mind,2026-03-16,734.64
615,19528,Damaged product,2026-03-20,1132.26
616,19529,Quality issue,2026-03-19,1351.11
617,19579,Changed mind,2026-05-05,1347.72
618,19577,Damaged product,2026-05-04,51.32
619,19581,Damaged product,2026-05-06,478.23
